0	365	172
1	366	171
2	322	165
3	375	171
4	347	169
5	304	154
6	331	165
7	335	168
8	408	181
9	396	179
10	363	167
11	296	151
12	367	179
13	413	179
14	389	173
15	383	182
16	353	166
17	312	162
18	371	173
19	359	173
20	383	176
21	348	165
22	290	154
23	386	172
24	377	173
25	397	179
26	378	175
27	326	162
28	363	171
29	403	173
30	341	171
31	373	172
32	388	180
33	340	171
34	364	166
35	285	168
36	372	177
37	400	169
38	374	176
39	404	173
40	320	157
41	362	173
42	292	161
43	309	157
44	297	160
45	292	158
46	385	176
47	335	168
48	346	165
49	405	182
50	367	169
51	320	164
52	386	175
53	299	162
54	320	164
55	349	175
56	364	179
57	312	153
58	296	153
59	344	169
60	390	174
61	336	167
62	394	177
63	337	167
64	334	167
65	347	170
66	379	180
67	395	169
68	325	166
69	337	170
70	340	160
71	387	173
72	352	172
73	315	164
74	323	171
75	353	162
76	291	154
77	383	173
78	332	164
79	327	164
80	351	164
81	330	161
82	383	173
83	325	166
84	383	171
85	301	159
86	342	161
87	372	174
88	342	170
89	357	169
90	302	153
91	374	176
92	346	171
93	350	172
94	343	169
95	400	180
96	361	177
97	337	177
98	388	173
99	350	168
100	346	165
101	346	167
102	347	159
103	361	168
104	350	169
105	370	177
106	306	160
107	344	167
108	312	170
109	321	159
110	340	177
111	413	179
112	379	173
113	360	165
114	341	167
115	326	167
116	334	166
117	331	164
118	337	161
119	367	177
120	347	174
121	348	165
122	367	171
123	343	170
124	430	182
125	376	167
126	389	181
127	369	181
128	406	176
129	350	175
130	341	174
131	369	177
132	342	168
133	364	176
134	288	155
135	376	172
136	381	176
137	407	185
138	344	166
139	401	186
140	313	160
141	294	152
142	354	178
143	331	164
144	321	160
145	301	161
146	431	179
147	354	168
148	393	178
149	342	174
150	382	173
151	393	178
152	388	180
153	299	157
154	352	174
155	305	162
156	386	177
157	318	163
158	348	176
159	362	178
160	323	169
161	374	172
162	407	182
163	338	173
164	337	168
165	383	181
166	335	164
167	380	169
168	429	183
169	384	176
170	357	178
171	383	179
172	329	170
173	380	170
174	398	173
175	388	175
176	376	176
177	387	173
178	332	166
179	346	168
180	315	172
181	331	167
182	363	172
183	326	165
184	398	179
185	402	176
186	314	161
187	383	175
188	434	177
189	321	158
190	341	180
191	359	176
192	346	169
193	401	176
194	321	156
195	312	163
196	316	164
197	337	165
198	337	172
199	331	169
200	355	165
201	373	176
202	399	181
203	356	174
204	316	167
205	341	166
206	336	168
207	396	181
208	340	168
209	333	168
