# time  ID  size  fromHost  toHost  TTL  isResponse
7.0000 M1 1683834 c127 gangs10 100 N 
13.0000 M2 1389931 c72 gangs1 100 N 
21.0000 M3 105969 w174 gangs3 100 N 
27.0000 M4 1611601 c129 gangs6 100 N 
33.0000 M5 296032 w183 gangs11 100 N 
41.0000 M6 161475 c97 gangs2 100 N 
48.0000 M7 1497401 c75 gangs7 100 N 
56.0000 M8 472273 w200 gangs4 100 N 
62.0000 M9 1877047 p15 gangs1 100 N 
67.0000 M10 784239 c118 gangs2 100 N 
73.0000 M11 691571 c136 gangs11 100 N 
79.0000 M12 381091 c106 gangs4 100 N 
86.0000 M13 1405016 p62 gangs9 100 N 
95.0000 M14 1178700 c132 gangs9 100 N 
100.0000 M15 888463 p14 gangs3 100 N 
106.0000 M16 448631 p68 gangs8 100 N 
114.0000 M17 364301 w155 gangs9 100 N 
120.0000 M18 1604104 p34 gangs2 100 N 
125.0000 M19 220182 w187 gangs8 100 N 
131.0000 M20 435826 p43 gangs1 100 N 
137.0000 M21 796679 c89 gangs8 100 N 
145.0000 M22 1247078 w149 gangs6 100 N 
153.0000 M23 327990 p31 gangs9 100 N 
158.0000 M24 693083 c95 gangs6 100 N 
163.0000 M25 178641 c104 gangs1 100 N 
170.0000 M26 61516 w147 gangs6 100 N 
179.0000 M27 909430 p8 gangs0 100 N 
185.0000 M28 108331 w199 gangs3 100 N 
192.0000 M29 237761 c123 gangs7 100 N 
199.0000 M30 377114 w206 gangs6 100 N 
205.0000 M31 1096892 c86 gangs10 100 N 
213.0000 M32 778464 w203 gangs5 100 N 
219.0000 M33 1463158 w164 gangs1 100 N 
227.0000 M34 1173417 p51 gangs5 100 N 
234.0000 M35 1826066 c125 gangs11 100 N 
241.0000 M36 1708150 p65 gangs3 100 N 
247.0000 M37 786051 w169 gangs7 100 N 
255.0000 M38 1800661 p4 gangs0 100 N 
262.0000 M39 1030960 p30 gangs5 100 N 
271.0000 M40 454826 p11 gangs1 100 N 
279.0000 M41 1477770 w187 gangs1 100 N 
286.0000 M42 76881 w204 gangs7 100 N 
293.0000 M43 294267 p55 gangs0 100 N 
302.0000 M44 588340 c124 gangs1 100 N 
308.0000 M45 1022957 w146 gangs10 100 N 
313.0000 M46 160197 c125 gangs7 100 N 
320.0000 M47 1709524 c113 gangs11 100 N 
325.0000 M48 522529 c75 gangs11 100 N 
333.0000 M49 649679 c98 gangs9 100 N 
339.0000 M50 400934 w183 gangs10 100 N 
347.0000 M51 205052 w189 gangs10 100 N 
354.0000 M52 18842 p16 gangs10 100 N 
361.0000 M53 1148271 c76 gangs5 100 N 
370.0000 M54 902010 p15 gangs11 100 N 
377.0000 M55 1069219 p41 gangs11 100 N 
385.0000 M56 152524 c80 gangs1 100 N 
394.0000 M57 1405133 w195 gangs8 100 N 
399.0000 M58 1715366 c98 gangs9 100 N 
404.0000 M59 934657 c119 gangs7 100 N 
410.0000 M60 1637900 w177 gangs0 100 N 
418.0000 M61 40606 w191 gangs7 100 N 
425.0000 M62 323670 w167 gangs7 100 N 
434.0000 M63 1789445 p1 gangs11 100 N 
441.0000 M64 1631462 p57 gangs4 100 N 
447.0000 M65 362978 p61 gangs3 100 N 
454.0000 M66 1260912 w162 gangs5 100 N 
461.0000 M67 667050 c90 gangs3 100 N 
470.0000 M68 445506 c133 gangs10 100 N 
479.0000 M69 810022 c112 gangs3 100 N 
487.0000 M70 55325 p35 gangs1 100 N 
496.0000 M71 1694448 c84 gangs3 100 N 
505.0000 M72 197347 p10 gangs0 100 N 
514.0000 M73 148996 c126 gangs10 100 N 
519.0000 M74 1749189 w165 gangs2 100 N 
527.0000 M75 561886 p17 gangs9 100 N 
534.0000 M76 1083342 c82 gangs3 100 N 
541.0000 M77 396374 c108 gangs5 100 N 
548.0000 M78 1670414 c112 gangs3 100 N 
557.0000 M79 1129742 w169 gangs9 100 N 
565.0000 M80 1615307 p6 gangs0 100 N 
570.0000 M81 1141482 c81 gangs0 100 N 
579.0000 M82 1100032 w141 gangs1 100 N 
586.0000 M83 937498 w148 gangs1 100 N 
592.0000 M84 1695835 p37 gangs1 100 N 
598.0000 M85 77689 p35 gangs9 100 N 
607.0000 M86 1271567 w201 gangs9 100 N 
612.0000 M87 1735667 c96 gangs11 100 N 
621.0000 M88 1220077 p3 gangs8 100 N 
630.0000 M89 237512 w196 gangs1 100 N 
637.0000 M90 732005 p4 gangs1 100 N 
645.0000 M91 812434 p38 gangs0 100 N 
652.0000 M92 1876798 p38 gangs7 100 N 
661.0000 M93 1833464 w202 gangs2 100 N 
667.0000 M94 488091 p7 gangs2 100 N 
673.0000 M95 1097174 w191 gangs6 100 N 
680.0000 M96 1130157 p7 gangs8 100 N 
687.0000 M97 1411626 c133 gangs7 100 N 
693.0000 M98 1766381 w181 gangs3 100 N 
700.0000 M99 373044 p40 gangs11 100 N 
706.0000 M100 227624 w175 gangs9 100 N 
712.0000 M101 1912443 w191 gangs4 100 N 
717.0000 M102 720887 p27 gangs6 100 N 
722.0000 M103 1529965 c105 gangs2 100 N 
729.0000 M104 1098599 p6 gangs8 100 N 
738.0000 M105 82886 c84 gangs1 100 N 
744.0000 M106 1065095 c83 gangs11 100 N 
749.0000 M107 588385 p44 gangs7 100 N 
754.0000 M108 1031402 c119 gangs8 100 N 
761.0000 M109 368655 c108 gangs6 100 N 
768.0000 M110 1415680 p44 gangs10 100 N 
776.0000 M111 414114 c130 gangs11 100 N 
785.0000 M112 429721 p7 gangs0 100 N 
790.0000 M113 247788 w153 gangs9 100 N 
796.0000 M114 936080 c105 gangs2 100 N 
805.0000 M115 156589 w159 gangs2 100 N 
812.0000 M116 688328 w156 gangs9 100 N 
817.0000 M117 240487 p58 gangs9 100 N 
825.0000 M118 1802991 w169 gangs1 100 N 
830.0000 M119 1769890 c75 gangs1 100 N 
836.0000 M120 1140540 p58 gangs3 100 N 
845.0000 M121 1506319 c108 gangs2 100 N 
851.0000 M122 1629252 p36 gangs8 100 N 
860.0000 M123 1349276 c124 gangs0 100 N 
868.0000 M124 23614 w172 gangs9 100 N 
875.0000 M125 1738589 p28 gangs10 100 N 
884.0000 M126 829989 w195 gangs7 100 N 
893.0000 M127 845674 c78 gangs0 100 N 
900.0000 M128 812907 c119 gangs9 100 N 
907.0000 M129 811114 w159 gangs2 100 N 
913.0000 M130 1170362 p14 gangs9 100 N 
918.0000 M131 1960220 c73 gangs10 100 N 
924.0000 M132 1443653 w178 gangs11 100 N 
931.0000 M133 1602967 w199 gangs3 100 N 
938.0000 M134 828919 p32 gangs5 100 N 
945.0000 M135 1465411 c113 gangs1 100 N 
951.0000 M136 1961977 p1 gangs10 100 N 
958.0000 M137 1142141 w156 gangs9 100 N 
965.0000 M138 799508 p52 gangs6 100 N 
973.0000 M139 1069855 w188 gangs10 100 N 
979.0000 M140 206918 c72 gangs6 100 N 
988.0000 M141 1230444 w172 gangs9 100 N 
993.0000 M142 1192386 w154 gangs6 100 N 
1001.0000 M143 735709 c89 gangs10 100 N 
1010.0000 M144 883479 w178 gangs6 100 N 
1016.0000 M145 360256 c133 gangs4 100 N 
1023.0000 M146 1909819 w172 gangs6 100 N 
1028.0000 M147 1846280 p11 gangs8 100 N 
1033.0000 M148 1208085 c112 gangs6 100 N 
1038.0000 M149 1334757 c98 gangs7 100 N 
1043.0000 M150 589735 p22 gangs6 100 N 
1048.0000 M151 565548 c125 gangs2 100 N 
1053.0000 M152 1582987 w160 gangs9 100 N 
1058.0000 M153 1852020 w152 gangs7 100 N 
1065.0000 M154 46823 w197 gangs11 100 N 
1071.0000 M155 346267 c139 gangs6 100 N 
1077.0000 M156 1336911 p40 gangs4 100 N 
1086.0000 M157 89359 w157 gangs5 100 N 
1092.0000 M158 1206351 w167 gangs6 100 N 
1099.0000 M159 426919 p26 gangs2 100 N 
1106.0000 M160 1714826 w178 gangs6 100 N 
1115.0000 M161 287543 c90 gangs10 100 N 
1124.0000 M162 870333 p12 gangs0 100 N 
1130.0000 M163 1084751 c93 gangs1 100 N 
1135.0000 M164 797332 p56 gangs4 100 N 
1140.0000 M165 1832621 p38 gangs6 100 N 
1147.0000 M166 1240272 c75 gangs5 100 N 
1156.0000 M167 581446 w207 gangs4 100 N 
1161.0000 M168 1723607 c79 gangs10 100 N 
1166.0000 M169 842694 w195 gangs7 100 N 
1171.0000 M170 218526 w156 gangs6 100 N 
1179.0000 M171 675605 p64 gangs1 100 N 
1184.0000 M172 1073285 w174 gangs8 100 N 
1193.0000 M173 402216 p45 gangs10 100 N 
1201.0000 M174 1904782 c109 gangs6 100 N 
1209.0000 M175 1688449 p28 gangs11 100 N 
1217.0000 M176 864481 w208 gangs7 100 N 
1222.0000 M177 767618 p16 gangs10 100 N 
1230.0000 M178 1060694 c88 gangs5 100 N 
1239.0000 M179 1103504 c87 gangs4 100 N 
1247.0000 M180 1400487 w171 gangs8 100 N 
1254.0000 M181 579313 c74 gangs4 100 N 
1259.0000 M182 204698 w151 gangs4 100 N 
1265.0000 M183 197533 c124 gangs0 100 N 
1270.0000 M184 984008 c112 gangs3 100 N 
1279.0000 M185 40246 w198 gangs7 100 N 
1287.0000 M186 431970 c133 gangs6 100 N 
1294.0000 M187 1403572 c93 gangs11 100 N 
1300.0000 M188 768134 p12 gangs9 100 N 
1305.0000 M189 1530219 p65 gangs1 100 N 
1312.0000 M190 1551246 p60 gangs8 100 N 
1319.0000 M191 1980672 c87 gangs11 100 N 
1326.0000 M192 1940423 c119 gangs4 100 N 
1335.0000 M193 327652 c88 gangs11 100 N 
1341.0000 M194 443264 w152 gangs0 100 N 
1347.0000 M195 570329 w141 gangs7 100 N 
1352.0000 M196 890082 c124 gangs4 100 N 
1361.0000 M197 1283939 p1 gangs10 100 N 
1366.0000 M198 571182 c107 gangs11 100 N 
1375.0000 M199 993418 p6 gangs3 100 N 
1381.0000 M200 289555 p29 gangs2 100 N 
1390.0000 M201 1295773 p43 gangs2 100 N 
1398.0000 M202 1812315 w183 gangs0 100 N 
1403.0000 M203 600679 p55 gangs5 100 N 
1410.0000 M204 413308 p32 gangs10 100 N 
1419.0000 M205 478856 p43 gangs1 100 N 
1425.0000 M206 163113 w206 gangs6 100 N 
1432.0000 M207 648908 w143 gangs9 100 N 
1437.0000 M208 266706 p1 gangs6 100 N 
1442.0000 M209 1803391 w146 gangs6 100 N 
1447.0000 M210 668428 w144 gangs11 100 N 
1456.0000 M211 998216 w140 gangs6 100 N 
1463.0000 M212 1131561 p24 gangs3 100 N 
1468.0000 M213 1697093 w193 gangs8 100 N 
1477.0000 M214 531949 c137 gangs8 100 N 
1484.0000 M215 623921 c87 gangs1 100 N 
1491.0000 M216 1383133 c75 gangs0 100 N 
1500.0000 M217 547830 c137 gangs6 100 N 
1508.0000 M218 894505 p36 gangs0 100 N 
1513.0000 M219 5411 c122 gangs7 100 N 
1519.0000 M220 1710510 p15 gangs4 100 N 
1525.0000 M221 355468 p36 gangs8 100 N 
1531.0000 M222 255534 p2 gangs4 100 N 
1539.0000 M223 680825 w153 gangs7 100 N 
1546.0000 M224 783070 c131 gangs6 100 N 
1552.0000 M225 11861 c121 gangs3 100 N 
1557.0000 M226 1083025 w159 gangs5 100 N 
1566.0000 M227 829245 c107 gangs9 100 N 
1571.0000 M228 286618 w166 gangs3 100 N 
1579.0000 M229 1978443 p37 gangs11 100 N 
1586.0000 M230 6063 c112 gangs4 100 N 
1594.0000 M231 299675 w149 gangs10 100 N 
1599.0000 M232 893714 c88 gangs5 100 N 
1606.0000 M233 127068 p3 gangs8 100 N 
1614.0000 M234 1151622 p41 gangs10 100 N 
1619.0000 M235 1483939 w161 gangs11 100 N 
1626.0000 M236 1966344 c96 gangs10 100 N 
1634.0000 M237 932121 w152 gangs0 100 N 
1640.0000 M238 1431992 w163 gangs2 100 N 
1648.0000 M239 694080 p43 gangs4 100 N 
1654.0000 M240 341314 p22 gangs8 100 N 
1662.0000 M241 1291016 w202 gangs10 100 N 
1668.0000 M242 1766868 c105 gangs1 100 N 
1674.0000 M243 333763 c129 gangs5 100 N 
1682.0000 M244 1111793 c129 gangs4 100 N 
1688.0000 M245 410380 c111 gangs2 100 N 
1697.0000 M246 1128930 w207 gangs0 100 N 
1706.0000 M247 904217 w151 gangs1 100 N 
1713.0000 M248 1736109 p64 gangs7 100 N 
1719.0000 M249 770314 c82 gangs5 100 N 
1726.0000 M250 443340 p43 gangs9 100 N 
1732.0000 M251 1890425 p20 gangs7 100 N 
1738.0000 M252 1816381 p26 gangs7 100 N 
1744.0000 M253 1364566 w167 gangs0 100 N 
1750.0000 M254 1757926 c132 gangs2 100 N 
1755.0000 M255 1146708 p30 gangs6 100 N 
1762.0000 M256 652384 p36 gangs7 100 N 
1769.0000 M257 704569 w146 gangs3 100 N 
1778.0000 M258 1210717 p54 gangs7 100 N 
1787.0000 M259 336173 w157 gangs4 100 N 
1795.0000 M260 1803182 w160 gangs0 100 N 
1801.0000 M261 843152 c137 gangs6 100 N 
1810.0000 M262 590729 c76 gangs5 100 N 
1819.0000 M263 1099290 w142 gangs5 100 N 
1825.0000 M264 315364 c77 gangs5 100 N 
1831.0000 M265 957771 p36 gangs1 100 N 
1837.0000 M266 639605 p17 gangs11 100 N 
1846.0000 M267 235047 w158 gangs8 100 N 
1853.0000 M268 1985333 c84 gangs4 100 N 
1860.0000 M269 1883384 w168 gangs8 100 N 
1866.0000 M270 393390 p68 gangs6 100 N 
1875.0000 M271 1012282 w206 gangs11 100 N 
1884.0000 M272 123060 p44 gangs5 100 N 
1893.0000 M273 1706924 c122 gangs3 100 N 
1898.0000 M274 874217 w158 gangs1 100 N 
1904.0000 M275 1850912 w152 gangs7 100 N 
1911.0000 M276 431575 p61 gangs3 100 N 
1916.0000 M277 502086 w207 gangs0 100 N 
1923.0000 M278 1622453 w162 gangs2 100 N 
1930.0000 M279 1340180 c117 gangs7 100 N 
1939.0000 M280 824718 p23 gangs10 100 N 
1944.0000 M281 85775 c123 gangs0 100 N 
1951.0000 M282 772224 p1 gangs4 100 N 
1960.0000 M283 821239 c79 gangs1 100 N 
1967.0000 M284 367250 w153 gangs10 100 N 
1973.0000 M285 1856385 c89 gangs5 100 N 
1980.0000 M286 396822 w163 gangs11 100 N 
1988.0000 M287 972256 c133 gangs11 100 N 
1994.0000 M288 896657 c107 gangs2 100 N 
2003.0000 M289 1723098 p25 gangs1 100 N 
