# time  ID  size  fromHost  toHost  TTL  isResponse
7.0000 M1 1683834 c127 gangs10 100 N 
13.0000 M2 1389931 c72 gangs1 100 N 
21.0000 M3 105969 w174 gangs3 100 N 
27.0000 M4 1611601 c129 gangs6 100 N 
33.0000 M5 296032 w183 gangs11 100 N 
41.0000 M6 161475 c97 gangs2 100 N 
48.0000 M7 1497401 c75 gangs7 100 N 
56.0000 M8 472273 w200 gangs4 100 N 
62.0000 M9 1877047 p15 gangs1 100 N 
67.0000 M10 784239 c118 gangs2 100 N 
73.0000 M11 691571 c136 gangs11 100 N 
79.0000 M12 381091 c106 gangs4 100 N 
86.0000 M13 1405016 p62 gangs9 100 N 
95.0000 M14 1178700 c132 gangs9 100 N 
100.0000 M15 888463 p14 gangs3 100 N 
106.0000 M16 448631 p68 gangs8 100 N 
114.0000 M17 364301 w155 gangs9 100 N 
120.0000 M18 1604104 p34 gangs2 100 N 
125.0000 M19 220182 w187 gangs8 100 N 
131.0000 M20 435826 p43 gangs1 100 N 
137.0000 M21 796679 c89 gangs8 100 N 
145.0000 M22 1247078 w149 gangs6 100 N 
153.0000 M23 327990 p31 gangs9 100 N 
158.0000 M24 693083 c95 gangs6 100 N 
163.0000 M25 178641 c104 gangs1 100 N 
170.0000 M26 61516 w147 gangs6 100 N 
179.0000 M27 909430 p8 gangs0 100 N 
185.0000 M28 108331 w199 gangs3 100 N 
192.0000 M29 237761 c123 gangs7 100 N 
199.0000 M30 377114 w206 gangs6 100 N 
205.0000 M31 1096892 c86 gangs10 100 N 
213.0000 M32 778464 w203 gangs5 100 N 
219.0000 M33 1463158 w164 gangs1 100 N 
227.0000 M34 1173417 p51 gangs5 100 N 
234.0000 M35 1826066 c125 gangs11 100 N 
241.0000 M36 1708150 p65 gangs3 100 N 
247.0000 M37 786051 w169 gangs7 100 N 
255.0000 M38 1800661 p4 gangs0 100 N 
262.0000 M39 1030960 p30 gangs5 100 N 
271.0000 M40 454826 p11 gangs1 100 N 
279.0000 M41 1477770 w187 gangs1 100 N 
286.0000 M42 76881 w204 gangs7 100 N 
293.0000 M43 294267 p55 gangs0 100 N 
302.0000 M44 588340 c124 gangs1 100 N 
308.0000 M45 1022957 w146 gangs10 100 N 
313.0000 M46 160197 c125 gangs7 100 N 
320.0000 M47 1709524 c113 gangs11 100 N 
325.0000 M48 522529 c75 gangs11 100 N 
333.0000 M49 649679 c98 gangs9 100 N 
339.0000 M50 400934 w183 gangs10 100 N 
347.0000 M51 205052 w189 gangs10 100 N 
354.0000 M52 18842 p16 gangs10 100 N 
361.0000 M53 1148271 c76 gangs5 100 N 
