# time  created  delivered  delivered/created
7.0000 1 0 0.0000
13.0000 2 0 0.0000
21.0000 3 0 0.0000
27.0000 4 0 0.0000
33.0000 5 0 0.0000
41.0000 6 0 0.0000
48.0000 7 0 0.0000
56.0000 8 0 0.0000
56.3000 8 1 0.1250
62.0000 9 1 0.1111
67.0000 10 1 0.1000
73.0000 11 1 0.0909
79.0000 12 1 0.0833
86.0000 13 1 0.0769
95.0000 14 1 0.0714
100.0000 15 1 0.0667
106.0000 16 1 0.0625
114.0000 17 1 0.0588
120.0000 18 1 0.0556
125.0000 19 1 0.0526
131.0000 20 1 0.0500
137.0000 21 1 0.0476
145.0000 22 1 0.0455
153.0000 23 1 0.0435
153.7000 23 2 0.0870
158.0000 24 2 0.0833
163.0000 25 2 0.0800
170.0000 26 2 0.0769
179.0000 27 2 0.0741
185.0000 28 2 0.0714
192.0000 29 2 0.0690
199.0000 30 2 0.0667
205.0000 31 2 0.0645
208.1000 31 3 0.0968
213.0000 32 3 0.0938
219.0000 33 3 0.0909
227.0000 34 3 0.0882
234.0000 35 3 0.0857
241.0000 36 3 0.0833
247.0000 37 3 0.0811
255.0000 38 3 0.0789
262.0000 39 3 0.0769
271.0000 40 3 0.0750
279.0000 41 3 0.0732
286.0000 42 3 0.0714
293.0000 43 3 0.0698
302.0000 44 3 0.0682
308.0000 45 3 0.0667
313.0000 46 3 0.0652
320.0000 47 3 0.0638
325.0000 48 3 0.0625
326.9000 48 4 0.0833
333.0000 49 4 0.0816
339.0000 50 4 0.0800
347.0000 51 4 0.0784
354.0000 52 4 0.0769
361.0000 53 4 0.0755
